factory_class,join_status,node_occurrence_count,workflow_count
org.knime.ext.tableau.hyperapi.write.TableauHyperWriterNodeFactory2,not_found,1,1
org.knime.filehandling.utility.nodes.listpaths.ListFilesAndFoldersNodeFactory,exact_not_deprecated,4,4
org.knime.js.base.node.configuration.filter.value.ValueFilterDialogNodeFactory,exact_not_deprecated,1,1
org.knime.js.base.node.quickform.filter.value.ValueFilterQuickFormNodeFactory,exact_not_deprecated,94,4
org.knime.js.base.node.viz.pagedTable.PagedTableViewNodeFactory,exact_not_deprecated,2,2
org.knime.js.base.node.viz.plotter.scatterSelectionAppender.ScatterPlotNodeFactory,exact_not_deprecated,2,2
org.knime.json.node.fromstring.StringToJSONNodeFactory,exact_not_deprecated,1,1
org.knime.json.node.fromxml.XMLToJSONNodeFactory,exact_not_deprecated,1,1
org.knime.json.node.jsonpath.multi.JSONPathNodeFactory,exact_not_deprecated,5,3
org.knime.json.node.totable.JSONToTableNodeFactory,exact_not_deprecated,1,1
org.knime.python2.nodes.source.Python2SourceNodeFactory,exact_not_deprecated,1,1
org.knime.python3.scripting.nodes2.script.PythonScriptNodeFactory,exact_not_deprecated,7,1
org.knime.rest.nodes.get.RestGetNodeFactory,exact_not_deprecated,7,4
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory,exact_deprecated,12,4
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory2,exact_not_deprecated,3,3
org.knime.time.node.convert.datetimetostring.DateTimeToStringNodeFactory,exact_deprecated,2,2
org.knime.time.node.convert.datetimetostring.DateTimeToStringNodeFactory2,exact_not_deprecated,2,2
org.knime.time.node.convert.newtoold.NewToOldTimeNodeFactory,exact_not_deprecated,1,1
org.knime.time.node.convert.oldtonew.OldToNewTimeNodeFactory,exact_not_deprecated,1,1
org.knime.time.node.convert.stringtodatetime.StringToDateTimeNodeFactory,exact_deprecated,15,4
org.knime.time.node.convert.stringtodatetime.StringToDateTimeNodeFactory2,exact_not_deprecated,10,5
org.knime.time.node.convert.timestamptodatetime.TimestampToDateTimeNodeFactory,exact_deprecated,1,1
org.knime.time.node.extract.datetime.ExtractDateTimeFieldsNodeFactory2,exact_not_deprecated,5,3
org.knime.time.node.filter.datetimebasedrowfilter.DateTimeBasedRowFilterNodeFactory,exact_not_deprecated,13,5
org.knime.time.node.manipulate.datetimeshift.DateShiftNodeFactory,exact_not_deprecated,2,2
org.knime.time.node.manipulate.datetimeshift.DateTimeShiftNodeFactory,exact_deprecated,12,4
org.knime.timeseries.node.stringtotimestamp.String2DateNodeFactory,not_found,1,1
org.knime.xml.node.xpath2.XPathNodeFactory,exact_not_deprecated,6,1
