index,factory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
8,org.knime.base.node.preproc.groupby.GroupByNodeFactory
